ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DIVERTED,AIR_TIME,FLIGHTS,DISTANCE
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,706,-6,14,4,943,-2,0,0,0,0,139,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,702,-10,12,4,938,-7,0,0,0,0,140,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,659,-13,16,3,935,-10,0,0,0,0,137,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,706,-6,18,3,944,-1,0,0,0,0,137,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,706,-6,17,3,938,-7,0,0,0,0,132,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,820,68,12,31,1324,,,,0,1,,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,842,90,10,3,1059,74,74,1,0,0,124,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,708,-4,21,4,950,5,5,0,0,0,137,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,706,-6,18,4,945,0,0,0,0,0,137,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,704,-8,15,3,926,-19,0,0,0,0,124,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,658,-14,17,4,925,-20,0,0,0,0,126,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,703,-9,20,3,929,-16,0,0,0,0,123,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,705,-7,25,4,928,-17,0,0,0,0,114,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,709,-3,19,4,940,-5,0,0,0,0,128,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,658,-14,13,4,927,-18,0,0,0,0,132,1,972
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,1225,-5,18,6,1452,-7,0,0,0,0,123,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,1227,-3,22,5,1451,-8,0,0,0,0,117,1,950
